#Pump power P, Variance V, marker y
0,1,0
40,0.803526122185617,0
80,0.72276980360217,0
130,0.656145266302905,0
180,0.629506182857198,0
230,0.580764417521312,0
0,1,1
40,1.45545908058197,1
80,1.61435855682649,1
130,2.02768271952128,1
180,2.14783047413053,1
230,2.46036760414763,1
